dep,sexe,jour,hosp,rea,HospConv,SSR_USLD,autres,rad,dc
21,0,2021-02-10,298,28,,,,2617,715
21,1,2021-02-10,147,19,,,,1329,418
21,2,2021-02-10,151,9,,,,1269,291
22,0,2021-02-10,44,5,,,,643,123
22,1,2021-02-10,25,2,,,,295,69
22,2,2021-02-10,19,3,,,,346,54
23,0,2021-02-10,73,6,,,,358,63
23,1,2021-02-10,40,5,,,,187,33
23,2,2021-02-10,31,1,,,,171,30
24,0,2021-02-10,154,13,,,,409,99
24,1,2021-02-10,79,11,,,,210,51
24,2,2021-02-10,75,2,,,,199,48
25,0,2021-02-10,176,46,,,,1628,386
25,1,2021-02-10,93,35,,,,841,230
25,2,2021-02-10,83,11,,,,783,156
26,0,2021-02-10,248,26,,,,1934,545
26,1,2021-02-10,122,17,,,,956,307
26,2,2021-02-10,119,9,,,,949,226
27,0,2021-02-10,131,15,,,,1068,298
27,1,2021-02-10,75,11,,,,533,164
27,2,2021-02-10,56,4,,,,526,131
28,0,2021-02-10,181,13,,,,1588,331
28,1,2021-02-10,92,10,,,,776,173
28,2,2021-02-10,89,3,,,,798,156
29,0,2021-02-10,127,10,,,,681,178
29,1,2021-02-10,74,7,,,,348,115
29,2,2021-02-10,51,3,,,,331,63
2A,0,2021-02-10,10,0,,,,317,79
2A,1,2021-02-10,7,0,,,,147,51
2A,2,2021-02-10,3,0,,,,170,28
2B,0,2021-02-10,48,7,,,,270,54
2B,1,2021-02-10,28,6,,,,149,35
2B,2,2021-02-10,20,1,,,,121,19
30,0,2021-02-10,247,41,,,,1700,407
30,1,2021-02-10,122,23,,,,886,226
30,2,2021-02-10,124,18,,,,807,181
31,0,2021-02-10,451,85,,,,3184,535
31,1,2021-02-10,232,52,,,,1669,331
31,2,2021-02-10,216,33,,,,1500,202
32,0,2021-02-10,94,2,,,,244,69
32,1,2021-02-10,48,1,,,,117,39
32,2,2021-02-10,45,1,,,,127,30
33,0,2021-02-10,423,80,,,,3330,696
33,1,2021-02-10,244,60,,,,1675,381
33,2,2021-02-10,178,20,,,,1639,313
34,0,2021-02-10,250,52,,,,2828,585
34,1,2021-02-10,125,35,,,,1487,344
34,2,2021-02-10,123,16,,,,1332,239
35,0,2021-02-10,428,29,,,,1783,433
35,1,2021-02-10,194,12,,,,923,223
35,2,2021-02-10,231,17,,,,849,208
36,0,2021-02-10,92,5,,,,620,191
36,1,2021-02-10,41,4,,,,323,98
36,2,2021-02-10,51,1,,,,290,92
37,0,2021-02-10,175,39,,,,1145,305
37,1,2021-02-10,97,28,,,,553,181
37,2,2021-02-10,78,11,,,,590,123
38,0,2021-02-10,681,59,,,,4956,1259
38,1,2021-02-10,371,42,,,,2405,729
38,2,2021-02-10,309,17,,,,2519,523
39,0,2021-02-10,192,6,,,,1369,375
39,1,2021-02-10,88,6,,,,619,197
39,2,2021-02-10,103,0,,,,739,177
40,0,2021-02-10,110,16,,,,607,183
40,1,2021-02-10,57,13,,,,305,94
40,2,2021-02-10,53,3,,,,301,86
41,0,2021-02-10,169,9,,,,848,223
41,1,2021-02-10,94,7,,,,425,130
41,2,2021-02-10,75,2,,,,421,93
42,0,2021-02-10,412,48,,,,3822,971
42,1,2021-02-10,229,38,,,,1912,572
42,2,2021-02-10,180,10,,,,1884,391
43,0,2021-02-10,121,4,,,,927,197
43,1,2021-02-10,54,3,,,,449,112
43,2,2021-02-10,64,1,,,,463,83
44,0,2021-02-10,307,33,,,,2292,546
44,1,2021-02-10,138,23,,,,1132,307
44,2,2021-02-10,165,9,,,,1150,237
45,0,2021-02-10,328,52,,,,1800,362
45,1,2021-02-10,178,38,,,,926,210
45,2,2021-02-10,147,13,,,,867,152
46,0,2021-02-10,42,1,,,,217,61
46,1,2021-02-10,20,1,,,,103,34
46,2,2021-02-10,22,0,,,,114,27
47,0,2021-02-10,48,4,,,,516,109
47,1,2021-02-10,21,4,,,,258,65
47,2,2021-02-10,27,0,,,,245,41
48,0,2021-02-10,21,2,,,,282,91
48,1,2021-02-10,11,2,,,,147,50
48,2,2021-02-10,10,0,,,,132,41
49,0,2021-02-10,252,36,,,,2091,518
49,1,2021-02-10,122,25,,,,1016,317
49,2,2021-02-10,126,10,,,,1060,201
50,0,2021-02-10,209,15,,,,773,215
50,1,2021-02-10,95,10,,,,383,122
50,2,2021-02-10,112,5,,,,384,90
51,0,2021-02-10,311,26,,,,2315,673
51,1,2021-02-10,151,19,,,,1125,372
51,2,2021-02-10,154,7,,,,1162,298
52,0,2021-02-10,103,7,,,,835,255
52,1,2021-02-10,49,6,,,,394,133
52,2,2021-02-10,53,1,,,,436,119
53,0,2021-02-10,89,11,,,,864,213
53,1,2021-02-10,40,8,,,,407,115
53,2,2021-02-10,49,3,,,,456,98
54,0,2021-02-10,337,43,,,,3076,871
54,1,2021-02-10,165,26,,,,1468,501
54,2,2021-02-10,172,17,,,,1586,364
55,0,2021-02-10,67,5,,,,990,282
55,1,2021-02-10,30,3,,,,485,156
55,2,2021-02-10,37,2,,,,503,126
56,0,2021-02-10,159,9,,,,1177,268
56,1,2021-02-10,79,6,,,,605,160
56,2,2021-02-10,79,3,,,,563,106
57,0,2021-02-10,503,74,,,,5054,1705
57,1,2021-02-10,270,54,,,,2495,965
57,2,2021-02-10,229,19,,,,2530,723
58,0,2021-02-10,170,6,,,,486,173
58,1,2021-02-10,82,4,,,,214,94
58,2,2021-02-10,88,2,,,,265,77
59,0,2021-02-10,1000,135,,,,9997,2354
59,1,2021-02-10,452,85,,,,4984,1282
59,2,2021-02-10,537,48,,,,4911,1063
60,0,2021-02-10,495,42,,,,2681,869
60,1,2021-02-10,225,30,,,,1328,484
60,2,2021-02-10,266,11,,,,1337,379
61,0,2021-02-10,134,7,,,,981,242
61,1,2021-02-10,62,5,,,,438,140
61,2,2021-02-10,69,2,,,,534,99
62,0,2021-02-10,531,73,,,,4710,1126
62,1,2021-02-10,243,52,,,,2288,599
62,2,2021-02-10,285,21,,,,2396,520
63,0,2021-02-10,311,32,,,,1651,492
63,1,2021-02-10,146,21,,,,772,270
63,2,2021-02-10,160,11,,,,865,219
64,0,2021-02-10,182,21,,,,1561,394
64,1,2021-02-10,103,19,,,,770,211
64,2,2021-02-10,77,2,,,,783,181
65,0,2021-02-10,38,6,,,,757,160
65,1,2021-02-10,21,4,,,,362,84
65,2,2021-02-10,17,2,,,,390,76
66,0,2021-02-10,158,23,,,,785,195
66,1,2021-02-10,90,21,,,,418,125
66,2,2021-02-10,68,2,,,,367,70
67,0,2021-02-10,590,83,,,,5079,1295
67,1,2021-02-10,270,51,,,,2601,734
67,2,2021-02-10,318,32,,,,2470,556
68,0,2021-02-10,436,46,,,,4864,1272
68,1,2021-02-10,196,31,,,,2527,744
68,2,2021-02-10,239,15,,,,2328,525
69,0,2021-02-10,820,140,,,,10514,2272
