dep,sexe,jour,hosp,rea,HospConv,SSR_USLD,autres,rad,dc
58,2,2022-11-27,28,0,13.0,15.0,0.0,1249,207
59,0,2022-11-27,796,56,495.0,212.0,33.0,35254,5662
59,1,2022-11-27,350,27,231.0,75.0,17.0,17014,3102
59,2,2022-11-27,438,28,260.0,134.0,16.0,17919,2520
60,0,2022-11-27,247,1,118.0,128.0,0.0,9262,1964
60,1,2022-11-27,111,0,58.0,53.0,0.0,4461,1059
60,2,2022-11-27,133,1,59.0,73.0,0.0,4730,887
61,0,2022-11-27,102,3,56.0,43.0,0.0,4014,581
61,1,2022-11-27,45,2,27.0,16.0,0.0,1881,323
61,2,2022-11-27,56,1,28.0,27.0,0.0,2091,253
62,0,2022-11-27,228,12,114.0,86.0,16.0,14767,2617
62,1,2022-11-27,103,5,55.0,31.0,12.0,6923,1383
62,2,2022-11-27,118,7,56.0,51.0,4.0,7657,1209
63,0,2022-11-27,188,4,132.0,44.0,8.0,6164,1174
63,1,2022-11-27,83,4,59.0,15.0,5.0,2963,662
63,2,2022-11-27,98,0,67.0,29.0,2.0,3151,508
64,0,2022-11-27,170,7,82.0,74.0,7.0,5668,851
64,1,2022-11-27,90,4,44.0,39.0,3.0,2867,471
64,2,2022-11-27,78,3,38.0,33.0,4.0,2772,378
65,0,2022-11-27,114,5,71.0,29.0,9.0,3408,443
65,1,2022-11-27,55,5,34.0,11.0,5.0,1637,229
65,2,2022-11-27,59,0,37.0,18.0,4.0,1760,214
66,0,2022-11-27,125,9,57.0,26.0,33.0,4574,829
66,1,2022-11-27,58,4,23.0,12.0,19.0,2355,484
66,2,2022-11-27,64,5,33.0,14.0,12.0,2198,342
67,0,2022-11-27,237,24,131.0,71.0,11.0,13345,2388
67,1,2022-11-27,106,13,61.0,26.0,6.0,6709,1327
67,2,2022-11-27,128,10,69.0,45.0,4.0,6582,1050
68,0,2022-11-27,265,8,158.0,89.0,10.0,12762,2203
68,1,2022-11-27,113,6,73.0,30.0,4.0,6237,1252
68,2,2022-11-27,150,2,85.0,58.0,5.0,6485,946
69,0,2022-11-27,436,45,295.0,69.0,27.0,26441,4383
69,1,2022-11-27,184,26,115.0,31.0,12.0,12910,2560
69,2,2022-11-27,232,18,164.0,36.0,14.0,13201,1776
70,0,2022-11-27,43,3,27.0,10.0,3.0,2613,405
70,1,2022-11-27,23,3,13.0,5.0,2.0,1291,233
70,2,2022-11-27,20,0,14.0,5.0,1.0,1316,171
71,0,2022-11-27,201,5,135.0,56.0,5.0,9104,1492
71,1,2022-11-27,94,5,65.0,21.0,3.0,4218,821
71,2,2022-11-27,107,0,70.0,35.0,2.0,4810,662
72,0,2022-11-27,131,4,101.0,26.0,0.0,6050,879
72,1,2022-11-27,66,4,55.0,7.0,0.0,2909,503
72,2,2022-11-27,64,0,45.0,19.0,0.0,3129,374
73,0,2022-11-27,96,6,63.0,15.0,12.0,6602,1031
73,1,2022-11-27,44,1,27.0,7.0,9.0,3250,589
